epoch,validity,latitude,longitude,Heading,#SVs,Speed (MPH),epoch2,lat_dec,long_dec
1685299748111,A,3743.5504,8912.5678,84.4,7,36,2023-05-28 18:49:08,37.73195556,89.21577222
1685299748980,A,3743.5506,8912.5589,84.4,7,35,2023-05-28 18:49:09,37.73196111,89.215525
1685299749978,A,3743.5514,8912.5471,84.4,7,35,2023-05-28 18:49:10,37.73198333,89.21519722
1685299751114,A,3743.5519,8912.5364,84.3,7,35,2023-05-28 18:49:11,37.73199722,89.2149
1685299751978,A,3743.5521,8912.5249,84.4,7,35,2023-05-28 18:49:12,37.73200278,89.21458056
1685299752981,A,3743.5538,8912.5138,84.4,7,35,2023-05-28 18:49:13,37.73205,89.21427222
1685299754111,A,3743.5542,8912.5025,84.5,7,35,2023-05-28 18:49:14,37.73206111,89.21395833
1685299754980,A,3743.5555,8912.4912,84.6,7,35,2023-05-28 18:49:15,37.73209722,89.21364444
1685299755980,A,3743.5569,8912.4795,84.7,7,35,2023-05-28 18:49:16,37.73213611,89.21331944
1685299757114,A,3743.5579,8912.4683,85,7,35,2023-05-28 18:49:17,37.73216389,89.21300833
1685299757978,A,3743.5585,8912.4569,85.2,7,35,2023-05-28 18:49:18,37.73218056,89.21269167
1685299758980,A,3743.5584,8912.4452,85.5,7,35,2023-05-28 18:49:19,37.73217778,89.21236667
1685299760113,A,3743.5583,8912.4342,85.9,7,35,2023-05-28 18:49:20,37.732175,89.21206111
1685299760980,A,3743.5582,8912.4232,86.2,7,36,2023-05-28 18:49:21,37.73217222,89.21175556
1685299761978,A,3743.5579,8912.4124,89,7,38,2023-05-28 18:49:22,37.73216389,89.21145556
1685299763114,A,3743.5588,8912.4004,90.8,7,38,2023-05-28 18:49:23,37.73218889,89.21112222
1685299763979,A,3743.5591,8912.3888,90.7,7,39,2023-05-28 18:49:24,37.73219722,89.2108
1685299764980,A,3743.5587,8912.3765,92,7,39,2023-05-28 18:49:25,37.73218611,89.21045833
1685299766113,A,3743.5583,8912.3644,91.9,7,39,2023-05-28 18:49:26,37.732175,89.21012222
1685299766980,A,3743.5585,8912.3525,90.1,7,39,2023-05-28 18:49:27,37.73218056,89.20979167
1685299767979,A,3743.5583,8912.3409,90,7,39,2023-05-28 18:49:28,37.732175,89.20946944
1685299769115,A,3743.5605,8912.3278,81.6,7,40,2023-05-28 18:49:29,37.73223611,89.20910556
1685299769978,A,3743.5633,8912.3143,76.1,7,40,2023-05-28 18:49:30,37.73231389,89.20873056
1685299770981,A,3743.5671,8912.3029,69.2,7,39,2023-05-28 18:49:31,37.73241944,89.20841389
1685299772112,A,3743.5711,8912.2924,62.8,7,40,2023-05-28 18:49:32,37.73253056,89.20812222
1685299772981,A,3743.5759,8912.2813,59,7,40,2023-05-28 18:49:33,37.73266389,89.20781389
1685299773979,A,3743.5809,8912.2704,56.7,7,40,2023-05-28 18:49:34,37.73280278,89.20751111
1685299775114,A,3743.5862,8912.2595,56.4,7,40,2023-05-28 18:49:35,37.73295,89.20720833
1685299775978,A,3743.5922,8912.249,57,7,41,2023-05-28 18:49:36,37.73311667,89.20069167
1685299776980,A,3743.5959,8912.2388,61.4,7,40,2023-05-28 18:49:37,37.73321944,89.20663333
1685299778111,A,3743.6001,8912.2276,64.8,7,40,2023-05-28 18:49:38,37.73333611,89.20632222
1685299778981,A,3743.6028,8912.2163,71.5,7,40,2023-05-28 18:49:39,37.73341111,89.20600833
1685299779978,A,3743.6035,8912.2048,81,7,39,2023-05-28 18:49:40,37.73343056,89.20568889
1685299781114,A,3743.6042,8912.1933,84.5,7,39,2023-05-28 18:49:41,37.73345,89.20536944
1685299781978,A,3743.6045,8912.1816,87.5,7,39,2023-05-28 18:49:42,37.73345833,89.20504444
1685299782980,A,3743.6049,8912.1698,87.5,7,39,2023-05-28 18:49:43,37.73346944,89.20471667
1685299784112,A,3743.6051,8912.1577,88.5,7,40,2023-05-28 18:49:44,37.733475,89.20438056
1685299784981,A,3743.6053,8912.1452,88.8,7,41,2023-05-28 18:49:45,37.73348056,89.20403333
1685299785981,A,3743.6052,8912.133,90.7,7,40,2023-05-28 18:49:46,37.73347778,89.20036944
1685299787114,A,3743.6045,8912.1206,92.8,7,40,2023-05-28 18:49:47,37.73345833,89.20335
1685299787979,A,3743.6041,8912.1085,92.4,7,40,2023-05-28 18:49:48,37.73344722,89.20301389
1685299788980,A,3743.6038,8912.0959,91.2,7,41,2023-05-28 18:49:49,37.73343889,89.20266389
1685299790112,A,3743.6033,8912.0836,91.2,7,41,2023-05-28 18:49:50,37.733425,89.20232222
1685299790980,A,3743.6032,8912.0706,90.3,7,42,2023-05-28 18:49:51,37.73342222,89.20196111
1685299791975,A,3743.6038,8912.0576,89,7,42,2023-05-28 18:49:52,37.73343889,89.2016
1685299793108,A,3743.6048,8912.0446,84.5,7,42,2023-05-28 18:49:53,37.73346667,89.20123889
1685299793978,A,3743.6074,8912.0316,78.1,7,44,2023-05-28 18:49:54,37.73353889,89.20087778
1685299794981,A,3743.6112,8912.0186,71,7,44,2023-05-28 18:49:55,37.73364444,89.20051667
1685299796111,A,3743.6156,8912.0059,64.8,7,45,2023-05-28 18:49:56,37.73376667,89.20016389
1685299796980,A,3743.6208,8911.9938,61.1,7,45,2023-05-28 18:49:57,37.73391111,89.21093889
1685299797979,A,3743.6268,8911.9828,56,7,45,2023-05-28 18:49:58,37.73407778,89.21063333
1685299799115,A,3743.6345,8911.9721,50.1,7,47,2023-05-28 18:49:59,37.73429167,89.21033611
1685299799979,A,3743.6426,8911.9608,48,7,49,2023-05-28 18:50:00,37.73451667,89.21002222
1685299800981,A,3743.6518,8911.9489,47.3,7,54,2023-05-28 18:50:01,37.73477222,89.20969167
1685299802112,A,3743.6617,8911.9362,47,7,58,2023-05-28 18:50:02,37.73504722,89.20933889
1685299802980,A,3743.6714,8911.9227,47.3,7,59,2023-05-28 18:50:03,37.73531667,89.20896389
1685299803979,A,3743.6815,8911.9094,48.4,7,59,2023-05-28 18:50:04,37.73559722,89.20859444
1685299805114,A,3743.6909,8911.8957,50.2,7,60,2023-05-28 18:50:05,37.73585833,89.20821389
1685299805979,A,3743.6996,8911.8817,52.5,7,58,2023-05-28 18:50:06,37.7361,89.207825
1685299806980,A,3743.7075,8911.8681,54.5,7,57,2023-05-28 18:50:07,37.73631944,89.20744722
1685299808113,A,3743.7151,8911.854,56.8,7,56,2023-05-28 18:50:08,37.73653056,89.18570556
1685299808980,A,3743.7228,8911.8394,58.6,7,55,2023-05-28 18:50:09,37.73674444,89.20665
1685299809978,A,3743.7294,8911.8254,60.5,7,54,2023-05-28 18:50:10,37.73692778,89.20626111
1685299811114,A,3743.7362,8911.8119,62.1,7,53,2023-05-28 18:50:11,37.73711667,89.20588611
1685299811980,A,3743.7421,8911.7976,63.2,7,52,2023-05-28 18:50:12,37.73728056,89.20548889
1685299812980,A,3743.7484,8911.7832,63.5,7,52,2023-05-28 18:50:13,37.73745556,89.20508889
1685299814111,A,3743.7541,8911.7689,63.7,7,51,2023-05-28 18:50:14,37.73761389,89.20469167
1685299814980,A,3743.7601,8911.7549,63.7,7,51,2023-05-28 18:50:15,37.73778056,89.20430278
1685299815978,A,3743.7657,8911.7412,63.6,7,51,2023-05-28 18:50:16,37.73793611,89.20392222
1685299817114,A,3743.7712,8911.7273,62.9,7,51,2023-05-28 18:50:17,37.73808889,89.20353611
1685299817978,A,3743.7771,8911.7137,61.8,7,51,2023-05-28 18:50:18,37.73825278,89.20315833
1685299818981,A,3743.7834,8911.6996,60.9,7,52,2023-05-28 18:50:19,37.73842778,89.20276667
1685299820111,A,3743.7896,8911.6859,60.4,7,53,2023-05-28 18:50:20,37.7386,89.20238611
1685299820981,A,3743.7961,8911.6723,59.6,7,53,2023-05-28 18:50:21,37.73878056,89.20200833
1685299821978,A,3743.8024,8911.6584,58.8,7,52,2023-05-28 18:50:22,37.73895556,89.20162222
1685299823114,A,3743.8092,8911.6447,58,7,52,2023-05-28 18:50:23,37.73914444,89.20124167
1685299823981,A,3743.816,8911.6313,57.4,7,51,2023-05-28 18:50:24,37.71893333,89.20086944
1685299824980,A,3743.823,8911.6186,56.4,7,51,2023-05-28 18:50:25,37.71895278,89.20051667
1685299826111,A,3743.8303,8911.606,55,7,51,2023-05-28 18:50:26,37.73973056,89.18501667
1685299826980,A,3743.8379,8911.593,53.5,7,51,2023-05-28 18:50:27,37.73994167,89.18498056
1685299827978,A,3743.8455,8911.5811,51.9,7,51,2023-05-28 18:50:28,37.74015278,89.199475
1685299829114,A,3743.8532,8911.5689,51.1,7,51,2023-05-28 18:50:29,37.74036667,89.19913611
1685299829978,A,3743.8611,8911.5569,50.4,7,51,2023-05-28 18:50:30,37.74058611,89.19880278
1685299830980,A,3743.8691,8911.5454,49.2,7,52,2023-05-28 18:50:31,37.74080833,89.19848333
1685299832111,A,3743.8775,8911.5335,49.6,7,51,2023-05-28 18:50:32,37.74104167,89.19815278
1685299832981,A,3743.8856,8911.522,49.6,7,51,2023-05-28 18:50:33,37.74126667,89.18478333
1685299833980,A,3743.8935,8911.5102,49.9,7,51,2023-05-28 18:50:34,37.74148611,89.19750556
1685299835114,A,3743.9013,8911.4982,49.7,7,51,2023-05-28 18:50:35,37.74170278,89.19717222
1685299835978,A,3743.909,8911.4864,49.9,7,50,2023-05-28 18:50:36,37.71919167,89.19684444
1685299836981,A,3743.9166,8911.4753,50,7,50,2023-05-28 18:50:37,37.74212778,89.19653611
1685299838114,A,3743.9238,8911.4636,49.9,7,50,2023-05-28 18:50:38,37.74232778,89.19621111
1685299839003,A,3743.931,8911.4521,50,7,49,2023-05-28 18:50:39,37.71925278,89.19589167
1685299840003,A,3743.9383,8911.4412,49.7,7,49,2023-05-28 18:50:40,37.74273056,89.19558889
1685299841137,A,3743.9459,8911.4304,49.7,7,49,2023-05-28 18:50:41,37.74294167,89.19528889
1685299842004,A,3743.9529,8911.4193,50.1,7,48,2023-05-28 18:50:42,37.74313611,89.19498056
1685299843004,A,3743.9604,8911.408,50.3,7,48,2023-05-28 18:50:43,37.74334444,89.18446667
1685299844136,A,3743.9678,8911.3967,50.8,7,49,2023-05-28 18:50:44,37.74355,89.19435278
1685299845003,A,3743.9752,8911.3852,50.2,7,48,2023-05-28 18:50:45,37.74375556,89.19403333
1685299846004,A,3743.9827,8911.3739,50.8,7,47,2023-05-28 18:50:46,37.74396389,89.19371944
1685299847140,A,3743.9899,8911.3627,52.4,7,45,2023-05-28 18:50:47,37.74416389,89.19340833
1685299848004,A,3743.9966,8911.3517,50.9,7,45,2023-05-28 18:50:48,37.74435,89.19310278
1685299849004,A,3744.0036,8911.341,51,7,44,2023-05-28 18:50:49,37.73343333,89.18428056
1685299850138,A,3744.0105,8911.3304,50.8,7,45,2023-05-28 18:50:50,37.733625,89.19251111
1685299851007,A,3744.0175,8911.3194,50.8,7,44,2023-05-28 18:50:51,37.73381944,89.19220556
1685299852004,A,3744.0242,8911.3091,50.7,7,42,2023-05-28 18:50:52,37.73400556,89.19191944
1685299853137,A,3744.0307,8911.2992,51,7,42,2023-05-28 18:50:53,37.73418611,89.19164444
1685299854004,A,3744.0371,8911.2894,49.2,7,41,2023-05-28 18:50:54,37.73436389,89.19137222
1685299855003,A,3744.0437,8911.2801,47.6,7,40,2023-05-28 18:50:55,37.73454722,89.19111389
1685299856138,A,3744.0501,8911.2709,46.8,7,40,2023-05-28 18:50:56,37.734725,89.19085833
1685299857004,A,3744.0566,8911.262,47.2,7,38,2023-05-28 18:50:57,37.73490556,89.18406111
1685299858004,A,3744.0631,8911.2533,46.6,7,38,2023-05-28 18:50:58,37.73508611,89.19036944
1685299859137,A,3744.0694,8911.245,47.5,7,37,2023-05-28 18:50:59,37.73526111,89.18401389
1685299860006,A,3744.0755,8911.2367,48.2,7,36,2023-05-28 18:51:00,37.73543056,89.18990833
1685299861004,A,3744.0813,8911.2286,48.5,7,33,2023-05-28 18:51:01,37.73559167,89.18968333
1685299862137,A,3744.0866,8911.2213,47.8,7,29,2023-05-28 18:51:02,37.73573889,89.18948056
1685299863006,A,3744.0913,8911.2147,47,7,26,2023-05-28 18:51:03,37.73586944,89.18929722
1685299864007,A,3744.0956,8911.2089,46.8,7,23,2023-05-28 18:51:04,37.73598889,89.18913611
1685299865137,A,3744.0985,8911.2053,46.3,7,19,2023-05-28 18:51:05,37.73606944,89.18903611
1685299866003,A,3744.1006,8911.2022,49.4,7,15,2023-05-28 18:51:06,37.73612778,89.18895
1685299867003,A,3744.1022,8911.1996,49.7,7,13,2023-05-28 18:51:07,37.73617222,89.18887778
1685299868137,A,3744.1035,8911.1977,51.4,7,11,2023-05-28 18:51:08,37.73620833,89.188825
1685299869004,A,3744.1045,8911.1963,49.6,7,8,2023-05-28 18:51:09,37.73623611,89.18878611
1685299870001,A,3744.1054,8911.1957,47.4,7,5,2023-05-28 18:51:10,37.73626111,89.18876944
1685299871135,A,3744.1059,8911.1951,41.3,7,3,2023-05-28 18:51:11,37.736275,89.18875278
1685299872004,A,3744.1066,8911.195,32.7,7,2,2023-05-28 18:51:12,37.73629444,89.183875
1685299873006,A,3744.1071,8911.1948,8.5,7,2,2023-05-28 18:51:13,37.73630833,89.18874444
1685299874137,A,3744.1074,8911.1948,8.5,7,0,2023-05-28 18:51:14,37.73631667,89.18874444
1685299875003,A,3744.1074,8911.1949,8.5,7,0,2023-05-28 18:51:15,37.73631667,89.18874722
1685299876004,A,3744.1074,8911.195,8.5,7,0,2023-05-28 18:51:16,37.73631667,89.183875
1685299877138,A,3744.1073,8911.1951,8.5,7,0,2023-05-28 18:51:17,37.73631389,89.18875278
1685299878003,A,3744.1073,8911.1951,8.5,7,0,2023-05-28 18:51:18,37.73631389,89.18875278
1685299879003,A,3744.1072,8911.1951,8.5,7,0,2023-05-28 18:51:19,37.73631111,89.18875278
1685299880136,A,3744.1072,8911.1951,8.5,7,0,2023-05-28 18:51:20,37.73631111,89.18875278
1685299881003,A,3744.107,8911.1951,8.5,7,0,2023-05-28 18:51:21,37.73363056,89.18875278
1685299882003,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:22,37.73363056,89.18875556
1685299883140,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:23,37.73363056,89.18875556
1685299884003,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:24,37.73363056,89.18875556
1685299885000,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:25,37.73363056,89.18875556
1685299886137,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:26,37.73363056,89.18875556
1685299887003,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:27,37.73363056,89.18875556
1685299888006,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:28,37.73363056,89.18875556
1685299889138,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:29,37.73363056,89.18875556
1685299890003,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:30,37.73363056,89.18875556
1685299891001,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:31,37.73363056,89.18875556
1685299892136,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:32,37.73363056,89.18875556
1685299893004,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:33,37.73363056,89.18875556
1685299894004,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:34,37.73363056,89.18875556
1685299895137,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:35,37.73363056,89.18875556
1685299896004,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:36,37.73363056,89.18875556
1685299897004,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:37,37.73363056,89.18875556
1685299898136,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:38,37.73363056,89.18875556
1685299899007,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:39,37.73363056,89.18875556
1685299900003,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:40,37.73363056,89.18875556
1685299901137,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:41,37.73363056,89.18875556
1685299902005,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:42,37.73363056,89.18875556
1685299903003,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:43,37.73363056,89.18875556
1685299904136,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:44,37.73363056,89.18875556
1685299905003,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:45,37.73363056,89.18875556
1685299906003,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:46,37.73363056,89.18875556
1685299907136,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:47,37.73363056,89.18875556
1685299908004,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:48,37.73363056,89.18875556
1685299909000,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:49,37.73363056,89.18875556
1685299910136,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:50,37.73363056,89.18875556
1685299911003,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:51,37.73363056,89.18875556
1685299912006,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:52,37.73363056,89.18875556
1685299913136,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:53,37.73363056,89.18875556
1685299914004,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:54,37.73363056,89.18875556
1685299915004,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:55,37.73363056,89.18875556
1685299916137,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:56,37.73363056,89.18875556
1685299917004,A,3744.107,8911.1952,8.5,7,0,2023-05-28 18:51:57,37.73363056,89.18875556
1685299918003,A,3744.1067,8911.1961,59.4,7,1,2023-05-28 18:51:58,37.73629722,89.18878056
1685299919137,A,3744.1074,8911.1952,54.8,7,6,2023-05-28 18:51:59,37.73631667,89.18875556
1685299920004,A,3744.1089,8911.1934,46.8,7,9,2023-05-28 18:52:00,37.73635833,89.18870556
1685299921003,A,3744.1107,8911.191,44.9,7,11,2023-05-28 18:52:01,37.73640833,89.18386389
1685299922136,A,3744.1129,8911.1888,38.4,7,12,2023-05-28 18:52:02,37.73646944,89.18857778
1685299923002,A,3744.1155,8911.1868,32.5,7,14,2023-05-28 18:52:03,37.73654167,89.18852222
1685299924004,A,3744.1185,8911.186,19,7,13,2023-05-28 18:52:04,37.736625,89.18385
1685299925138,A,3744.1218,8911.1858,3.5,7,14,2023-05-28 18:52:05,37.73671667,89.18849444
1685299926003,A,3744.1253,8911.1872,345.7,7,15,2023-05-28 18:52:06,37.73681389,89.18853333
1685299927003,A,3744.1287,8911.1901,329.3,7,16,2023-05-28 18:52:07,37.73690833,89.18861389
1685299928137,A,3744.1323,8911.193,322.4,7,18,2023-05-28 18:52:08,37.73700833,89.18386944
1685299929005,A,3744.1359,8911.1968,319.8,7,18,2023-05-28 18:52:09,37.73710833,89.1888
1685299930005,A,3744.1391,8911.2002,320.3,7,18,2023-05-28 18:52:10,37.73719722,89.18889444
1685299931137,A,3744.1427,8911.2033,322.3,7,17,2023-05-28 18:52:11,37.73729722,89.18898056
1685299932003,A,3744.1451,8911.2061,325.5,7,14,2023-05-28 18:52:12,37.73736389,89.18905833
1685299933002,A,3744.1472,8911.2083,325.9,7,12,2023-05-28 18:52:13,37.73742222,89.18911944
1685299934136,A,3744.1493,8911.21,326.4,7,10,2023-05-28 18:52:14,37.73748056,89.18339167
1685299935002,A,3744.1512,8911.2115,327.8,7,9,2023-05-28 18:52:15,37.73753333,89.18920833
1685299936003,A,3744.1526,8911.2131,326.8,7,8,2023-05-28 18:52:16,37.73757222,89.18925278
1685299937136,A,3744.1546,8911.2147,326.5,7,9,2023-05-28 18:52:17,37.73762778,89.18929722
1685299938006,A,3744.1561,8911.2164,321.8,7,10,2023-05-28 18:52:18,37.73766944,89.18934444
1685299939003,A,3744.1567,8911.219,308.7,7,10,2023-05-28 18:52:19,37.73768611,89.18394167
1685299940136,A,3744.1569,8911.2227,293.9,7,11,2023-05-28 18:52:20,37.73769167,89.18951944
1685299941004,A,3744.1572,8911.2267,280.1,7,12,2023-05-28 18:52:21,37.7377,89.18963056
1685299942007,A,3744.1573,8911.2304,271.7,7,12,2023-05-28 18:52:22,37.73770278,89.18973333
1685299943136,A,3744.1549,8911.234,269.4,7,12,2023-05-28 18:52:23,37.73763611,89.18398333
1685299944003,A,3744.1533,8911.2366,245,7,10,2023-05-28 18:52:24,37.73759167,89.18990556
1685299945005,A,3744.1525,8911.2395,236.5,7,10,2023-05-28 18:52:25,37.73756944,89.18998611
1685299946137,A,3744.1513,8911.2422,238.8,7,10,2023-05-28 18:52:26,37.73753611,89.19006111
1685299947003,A,3744.1505,8911.2444,235.7,7,8,2023-05-28 18:52:27,37.73751389,89.19012222
1685299948005,A,3744.1497,8911.2457,237.3,7,5,2023-05-28 18:52:28,37.73749167,89.19015833
1685299949138,A,3744.1488,8911.247,231.6,7,5,2023-05-28 18:52:29,37.73746667,89.18401944
1685299950004,A,3744.1485,8911.248,230.3,7,6,2023-05-28 18:52:30,37.73745833,89.18402222
1685299951005,A,3744.1478,8911.2493,231.4,7,7,2023-05-28 18:52:31,37.73743889,89.19025833
1685299952138,A,3744.1457,8911.2518,224.9,7,9,2023-05-28 18:52:32,37.73738056,89.19032778
1685299953003,A,3744.1433,8911.254,231,7,10,2023-05-28 18:52:33,37.73731389,89.18403889
1685299954003,A,3744.1407,8911.2577,233.1,7,14,2023-05-28 18:52:34,37.73724167,89.19049167
1685299955138,A,3744.1398,8911.2606,233.5,7,12,2023-05-28 18:52:35,37.73721667,89.19057222
1685299956006,A,3744.1382,8911.2625,223.8,7,11,2023-05-28 18:52:36,37.73717222,89.190625
1685299957004,A,3744.1361,8911.2637,200.2,7,9,2023-05-28 18:52:37,37.73711389,89.19065833
1685299958135,A,3744.1337,8911.2634,174,7,9,2023-05-28 18:52:38,37.73704722,89.19065
1685299959002,A,3744.1321,8911.2625,148.4,7,8,2023-05-28 18:52:39,37.73700278,89.190625
1685299960003,A,3744.1304,8911.2608,137.7,7,8,2023-05-28 18:52:40,37.73695556,89.19057778
1685299961135,A,3744.1291,8911.2594,132.2,7,7,2023-05-28 18:52:41,37.73691944,89.19053889
1685299962004,A,3744.1282,8911.2586,131.6,7,5,2023-05-28 18:52:42,37.73689444,89.19051667
1685299962999,A,3744.1274,8911.2575,133,7,2,2023-05-28 18:52:43,37.73687222,89.19048611
1685299964136,A,3744.127,8911.2571,115,7,1,2023-05-28 18:52:44,37.73368611,89.190475
1685299965002,A,3744.127,8911.2572,115,7,0,2023-05-28 18:52:45,37.73368611,89.19047778
1685299965999,A,3744.127,8911.2572,115,7,0,2023-05-28 18:52:46,37.73368611,89.19047778
1685299967136,A,3744.1271,8911.2572,115,7,0,2023-05-28 18:52:47,37.73686389,89.19047778
