,lat,lon,speed,time,heading,cum_dist,cum_dist_pct,time_str,date_str
0,37.72584,-89.209463333,35.5683,2023-05-28 18:49:01.973000+00:00,-1.0,-1.0,-1.0,-1,-1
1,37.725843333,-89.209315,35.43408,2023-05-28 18:49:03+00:00,88.71,0.01,0.03,06:49:03 PM,"Sun, May 28 2023"
2,37.725856667,-89.209118333,35.32223,2023-05-28 18:49:04+00:00,86.12,0.02,0.07,06:49:04 PM,"Sun, May 28 2023"
3,37.725865,-89.20894,35.32223,2023-05-28 18:49:05+00:00,87.32,0.03,0.11,06:49:05 PM,"Sun, May 28 2023"
4,37.725868333,-89.208748333,35.21038,2023-05-28 18:49:06+00:00,89.0,0.04,0.15,06:49:06 PM,"Sun, May 28 2023"
5,37.725896667,-89.208563333,35.098530000000004,2023-05-28 18:49:07+00:00,81.29,0.05,0.19,06:49:07 PM,"Sun, May 28 2023"
6,37.725903333,-89.208375,35.098530000000004,2023-05-28 18:49:08+00:00,87.97,0.06,0.22,06:49:08 PM,"Sun, May 28 2023"
7,37.725925,-89.208186667,35.098530000000004,2023-05-28 18:49:09+00:00,83.43,0.07,0.26,06:49:09 PM,"Sun, May 28 2023"
8,37.725948333,-89.207991667,35.098530000000004,2023-05-28 18:49:10+00:00,83.17,0.08,0.3,06:49:10 PM,"Sun, May 28 2023"
9,37.725965,-89.207805,35.098530000000004,2023-05-28 18:49:11+00:00,84.9,0.09,0.34,06:49:11 PM,"Sun, May 28 2023"
10,37.725975,-89.207615,35.21038,2023-05-28 18:49:12+00:00,86.99,0.1,0.38,06:49:12 PM,"Sun, May 28 2023"
11,37.725973333,-89.20742,35.32223,2023-05-28 18:49:13+00:00,90.49,0.11,0.42,06:49:13 PM,"Sun, May 28 2023"
12,37.725971667,-89.207236667,35.43408,2023-05-28 18:49:14+00:00,90.52,0.12,0.46,06:49:14 PM,"Sun, May 28 2023"
13,37.72597,-89.207053333,35.68015,2023-05-28 18:49:15+00:00,90.52,0.13,0.5,06:49:15 PM,"Sun, May 28 2023"
14,37.725965,-89.206873333,37.62634,2023-05-28 18:49:16+00:00,91.59,0.14,0.53,06:49:16 PM,"Sun, May 28 2023"
15,37.72598,-89.206673333,38.31981,2023-05-28 18:49:17+00:00,85.71,0.15,0.57,06:49:17 PM,"Sun, May 28 2023"
16,37.725985,-89.20648,38.543510000000005,2023-05-28 18:49:18+00:00,88.52,0.16,0.61,06:49:18 PM,"Sun, May 28 2023"
17,37.725978333,-89.206275,38.78958,2023-05-28 18:49:19+00:00,91.86,0.17,0.66,06:49:19 PM,"Sun, May 28 2023"
18,37.725971667,-89.206073333,38.901430000000005,2023-05-28 18:49:20+00:00,91.89,0.19,0.7,06:49:20 PM,"Sun, May 28 2023"
19,37.725975,-89.205875,39.23698,2023-05-28 18:49:21+00:00,89.04,0.2,0.74,06:49:21 PM,"Sun, May 28 2023"
20,37.725971667,-89.205681667,39.46068,2023-05-28 18:49:22+00:00,90.99,0.21,0.78,06:49:22 PM,"Sun, May 28 2023"
21,37.726008333,-89.205463333,39.93045000000001,2023-05-28 18:49:23+00:00,80.46,0.22,0.82,06:49:23 PM,"Sun, May 28 2023"
22,37.726055,-89.205238333,39.5949,2023-05-28 18:49:24+00:00,78.28,0.23,0.87,06:49:24 PM,"Sun, May 28 2023"
23,37.726118333,-89.205048333,39.12513,2023-05-28 18:49:25+00:00,71.56,0.24,0.91,06:49:25 PM,"Sun, May 28 2023"
24,37.726185,-89.204873333,39.5949,2023-05-28 18:49:26+00:00,69.14,0.25,0.95,06:49:26 PM,"Sun, May 28 2023"
25,37.726265,-89.204688333,39.70675,2023-05-28 18:49:27+00:00,66.61,0.27,1.0,06:49:27 PM,"Sun, May 28 2023"
26,37.726348333,-89.204506667,39.8186,2023-05-28 18:49:28+00:00,65.35,0.28,1.04,06:49:28 PM,"Sun, May 28 2023"
27,37.726436667,-89.204325,40.0423,2023-05-28 18:49:29+00:00,64.06,0.29,1.08,06:49:29 PM,"Sun, May 28 2023"
28,37.726536667,-89.20415,40.623920000000005,2023-05-28 18:49:30+00:00,60.25,0.3,1.13,06:49:30 PM,"Sun, May 28 2023"
29,37.726598333,-89.20398,39.93045000000001,2023-05-28 18:49:31+00:00,70.06,0.31,1.17,06:49:31 PM,"Sun, May 28 2023"
30,37.726668333,-89.203793333,40.28837000000001,2023-05-28 18:49:32+00:00,69.44,0.32,1.21,06:49:32 PM,"Sun, May 28 2023"
31,37.726713333,-89.203605,39.5949,2023-05-28 18:49:33+00:00,76.56,0.33,1.25,06:49:33 PM,"Sun, May 28 2023"
32,37.726725,-89.203413333,38.901430000000005,2023-05-28 18:49:34+00:00,86.52,0.34,1.29,06:49:34 PM,"Sun, May 28 2023"
33,37.726736667,-89.203221667,38.901430000000005,2023-05-28 18:49:35+00:00,86.52,0.35,1.33,06:49:35 PM,"Sun, May 28 2023"
34,37.726741667,-89.203026667,39.01328,2023-05-28 18:49:36+00:00,88.53,0.36,1.37,06:49:36 PM,"Sun, May 28 2023"
35,37.726748333,-89.20283,39.01328,2023-05-28 18:49:37+00:00,88.06,0.38,1.41,06:49:37 PM,"Sun, May 28 2023"
