Speed (MPH),Start
62,0
62,1
62,2
61,3
61,4
61,5
61,6
60,7
60,8
60,9
59,10
59,11
59,12
59,13
59,14
58,15
58,16
58,17
59,18
59,19
58,20
58,21
58,22
57,23
57,24
56,25
54,26
52,27
51,28
50,29
49,30
48,31
46,32
45,33
44,34
43,35
41,36
39,37
37,38
35,39
32,40
29,41
25,42
22,43
18,44
17,45
17,46
20,47
21,48
22,49
24,50
25,51
27,52
29,53
30,54
32,55
35,56
37,57
40,58
41,59
43,60
44,61
44,62
46,63
47,64
49,65
49,66
50,67
52,68
52,69
53,70
54,71
55,72
55,73
56,74
56,75
57,76
57,77
57,78
56,79
56,80
56,81
56,82
56,83
56,84
55,85
56,86
56,87
55,88
56,89
56,90
56,91
56,92
55,93
56,94
55,95
55,96
55,97
55,98
54,99
54,100
53,101
53,102
51,103
52,104
52,105
51,106
50,107
50,108
50,109
50,110
49,111
49,112
49,113
49,114
49,115
49,116
49,117
49,118
49,119
49,120
49,121
50,122
51,123
53,124
55,125
58,126
60,127
60,128
60,129
60,130
61,131
61,132
61,133
61,134
62,135
63,136
63,137
63,138
63,139
64,140
64,141
65,142
65,143
65,144
66,145
66,146
66,147
65,148
64,149
64,150
64,151
64,152
64,153
65,154
65,155
65,156
66,157
65,158
66,159
66,160
66,161
66,162
66,163
66,164
66,165
67,166
66,167
66,168
66,169
65,170
65,171
64,172
63,173
63,174
63,175
63,176
63,177
63,178
64,179
64,180
64,181
